request_id,department,section_id,defect_type,severity,reported_date,overdue_days,preferred_window_start,preferred_window_end,estimated_duration_min,status
ENG-0055,ENGINEERING,ET-BPL,Ballast degradation,MINOR,2026-06-15,75,2026-09-02 02:00,2026-09-02 03:30,90,PENDING
TRA-0013,TRACTION,VSKP-BZA,Pantograph contact wear,MINOR,2026-06-23,68,2026-09-13 23:00,2026-09-14 00:30,90,PENDING
SIG-0029,SIGNAL_TELECOM,GWL-AGC,Point machine malfunction,MINOR,2026-06-25,65,2026-09-09 03:00,2026-09-09 04:30,90,PENDING
TRA-0009,TRACTION,ET-NGP,Feeder cable fault,MINOR,2026-06-26,65,2026-09-21 23:00,2026-09-22 00:30,90,PENDING
ENG-0006,ENGINEERING,ST-BRC,Bridge deck inspection due,MINOR,2026-06-29,61,2026-09-19 01:00,2026-09-19 02:30,90,PENDING
ENG-0020,ENGINEERING,BWN-ASN,Bridge deck inspection due,MINOR,2026-06-29,62,2026-09-28 23:00,2026-09-29 00:30,90,PENDING
TRA-0007,TRACTION,BRC-ST,Feeder cable fault,MINOR,2026-06-29,61,2026-09-09 00:00,2026-09-09 01:30,90,PENDING
TRA-0027,TRACTION,JHS-BPL,Feeder cable fault,MINOR,2026-06-30,62,2026-09-15 01:00,2026-09-15 02:30,90,PENDING
TRA-0024,TRACTION,ALJN-TDL,OHE wire wear,MINOR,2026-07-01,61,2026-09-10 23:00,2026-09-11 00:30,90,PENDING
ENG-0032,ENGINEERING,GWL-AGC,Rail fracture risk,MINOR,2026-07-03,59,2026-09-08 02:00,2026-09-08 03:30,90,PENDING
ENG-0052,ENGINEERING,MAS-BZA,Ballast degradation,MINOR,2026-07-03,60,2026-09-28 03:00,2026-09-28 04:30,90,PENDING
TRA-0015,TRACTION,LDH-JAT,Insulator flashover risk,MINOR,2026-07-03,59,2026-09-25 04:00,2026-09-25 05:30,90,PENDING
