train_number,train_name,station_code,station_name,arrival,departure,day,distance,zone,division
14523,Harihar Express,MFP,MUZAFFARPUR JN,None,07:25:00,1,,ECR,Bihar
14523,Harihar Express,LKO,LUCKNOW,21:05:00,21:15:00,1,,NER,Uttar Pradesh
14523,Harihar Express,BE,BAREILLY,01:00:00,01:05:00,2,,NER,Uttar Pradesh
14523,Harihar Express,MB,MORADABAD,02:50:00,03:00:00,2,,NR,Uttar Pradesh
14523,Harihar Express,UMB,AMBALA CANT JN,07:55:00,None,2,,NR,Haryana
12260,New Delhi-Sealdah AC Duronto Express,NDLS,NEW DELHI,None,20:05:00,1,,NR,Delhi
12260,New Delhi-Sealdah AC Duronto Express,GZB,GHAZIABAD,20:22:00,20:22:00,1,,NR,Uttar Pradesh
12260,New Delhi-Sealdah AC Duronto Express,ALJN,ALIGARH JN,21:34:00,21:34:00,1,,NCR,Uttar Pradesh
12260,New Delhi-Sealdah AC Duronto Express,TDL,TUNDLA JN,22:26:00,22:26:00,1,,NCR,Uttar Pradesh
12260,New Delhi-Sealdah AC Duronto Express,CNB,KANPUR CENTRAL,01:02:00,01:02:00,2,,NCR,Uttar Pradesh
12260,New Delhi-Sealdah AC Duronto Express,ALD,ALLAHABAD JN,03:13:00,03:13:00,2,,NCR,Uttar Pradesh
12260,New Delhi-Sealdah AC Duronto Express,MGS,MUGHAL SARAI JN,04:56:00,04:56:00,2,,ECR,Uttar Pradesh
12260,New Delhi-Sealdah AC Duronto Express,GAYA,GAYA JN,07:14:00,07:14:00,2,,ECR,Bihar
12260,New Delhi-Sealdah AC Duronto Express,DHN,DHANBAD JN,09:29:00,09:29:00,2,,ECR,Jharkhand
12260,New Delhi-Sealdah AC Duronto Express,ASN,ASANSOL JN,10:08:00,10:08:00,2,,ER,West Bengal
12260,New Delhi-Sealdah AC Duronto Express,BWN,BARDDHAMAN JN,11:20:00,11:20:00,2,,ER,West Bengal
12260,New Delhi-Sealdah AC Duronto Express,SDAH,KOLKATA SEALDAH,12:25:00,None,2,,ER,West Bengal
12720,HYDERABAD DECCAN - AJMER SF Exp,HYB,HYDERABAD DECCAN,None,20:30:00,1,,SCR,Andhra Pradesh
12720,HYDERABAD DECCAN - AJMER SF Exp,SC,SECUNDERABAD JN,20:50:00,20:55:00,1,,SCR,Telangana
12720,HYDERABAD DECCAN - AJMER SF Exp,NZB,NIZAMABAD,23:13:00,23:15:00,1,,SCR,Andhra Pradesh
