request_id,department,section_id,defect_type,severity,reported_date,overdue_days,preferred_window_start,preferred_window_end,estimated_duration_min,status
SIG-0001,SIGNAL_TELECOM,AGC-NZM,Axle counter fault,MAJOR,2026-08-15,16,2026-09-10 02:00,2026-09-10 04:00,120,PENDING
SIG-0002,SIGNAL_TELECOM,MGS-PNBE,Signal relay fault,CRITICAL,2026-08-24,5,2026-09-13 03:00,2026-09-13 06:00,180,PENDING
SIG-0003,SIGNAL_TELECOM,UMB-MB,Point machine malfunction,MINOR,2026-07-16,47,2026-09-23 02:00,2026-09-23 03:30,90,PENDING
SIG-0004,SIGNAL_TELECOM,ET-JBP,Signal relay fault,MAJOR,2026-08-08,21,2026-09-23 00:00,2026-09-23 02:00,120,PENDING
SIG-0005,SIGNAL_TELECOM,ALJN-GZB,Signal relay fault,MINOR,2026-07-10,51,2026-09-07 22:00,2026-09-07 23:30,90,PENDING
SIG-0006,SIGNAL_TELECOM,JBP-ALD,Signal relay fault,MAJOR,2026-08-16,14,2026-09-15 22:00,2026-09-16 00:00,120,PENDING
SIG-0007,SIGNAL_TELECOM,SC-GTL,Cable insulation fault,CRITICAL,2026-08-29,2,2026-09-10 01:00,2026-09-10 04:00,180,PENDING
SIG-0008,SIGNAL_TELECOM,JHS-GWL,Cable insulation fault,CRITICAL,2026-08-27,4,2026-09-13 04:00,2026-09-13 07:00,180,PENDING
SIG-0009,SIGNAL_TELECOM,TDL-CNB,Track circuit failure,MINOR,2026-08-03,27,2026-09-23 00:00,2026-09-23 01:30,90,PENDING
SIG-0010,SIGNAL_TELECOM,ASN-BWN,Cable insulation fault,MINOR,2026-07-11,49,2026-09-24 03:00,2026-09-24 04:30,90,PENDING
SIG-0011,SIGNAL_TELECOM,NDLS-NZM,Interlocking overdue check,MAJOR,2026-08-08,21,2026-09-23 23:00,2026-09-24 01:00,120,PENDING
SIG-0012,SIGNAL_TELECOM,BRC-ADI,Track circuit failure,MINOR,2026-07-26,35,2026-09-11 02:00,2026-09-11 03:30,90,PENDING
SIG-0013,SIGNAL_TELECOM,AGC-GWL,Interlocking overdue check,MAJOR,2026-08-08,22,2026-09-16 04:00,2026-09-16 06:00,120,PENDING
SIG-0014,SIGNAL_TELECOM,GWL-JHS,Axle counter fault,MAJOR,2026-08-11,20,2026-09-23 01:00,2026-09-23 03:00,120,PENDING
