request_id,department,section_id,defect_type,severity,reported_date,overdue_days,preferred_window_start,preferred_window_end,estimated_duration_min,status
TRA-0001,TRACTION,SUR-GTL,Pantograph contact wear,MINOR,2026-07-14,46,2026-09-14 23:00,2026-09-15 00:30,90,PENDING
TRA-0002,TRACTION,JBP-ET,Insulator flashover risk,MAJOR,2026-08-09,23,2026-09-27 22:00,2026-09-28 00:00,120,PENDING
TRA-0003,TRACTION,BZA-SC,Traction substation overdue check,MAJOR,2026-08-08,22,2026-09-04 22:00,2026-09-05 00:00,120,PENDING
TRA-0004,TRACTION,LDH-UMB,Traction substation overdue check,CRITICAL,2026-08-25,5,2026-09-22 00:00,2026-09-22 03:00,180,PENDING
TRA-0005,TRACTION,JHS-BPL,Insulator flashover risk,CRITICAL,2026-08-26,4,2026-09-21 00:00,2026-09-21 03:00,180,PENDING
TRA-0006,TRACTION,ERS-MAO,Traction substation overdue check,MINOR,2026-08-07,23,2026-09-12 00:00,2026-09-12 01:30,90,PENDING
TRA-0007,TRACTION,BRC-ST,Feeder cable fault,MINOR,2026-06-29,61,2026-09-09 00:00,2026-09-09 01:30,90,PENDING
TRA-0008,TRACTION,BPL-ET,Traction substation overdue check,MINOR,2026-07-15,46,2026-09-07 04:00,2026-09-07 05:30,90,PENDING
TRA-0009,TRACTION,ET-NGP,Feeder cable fault,MINOR,2026-06-26,65,2026-09-21 23:00,2026-09-22 00:30,90,PENDING
TRA-0010,TRACTION,BSP-R,Pantograph contact wear,MAJOR,2026-08-10,19,2026-09-17 22:00,2026-09-18 00:00,120,PENDING
TRA-0011,TRACTION,BZA-VSKP,Traction substation overdue check,MINOR,2026-07-08,52,2026-09-27 01:00,2026-09-27 02:30,90,PENDING
TRA-0012,TRACTION,CNB-ALD,Insulator flashover risk,MAJOR,2026-08-13,16,2026-09-19 22:00,2026-09-20 00:00,120,PENDING
TRA-0013,TRACTION,VSKP-BZA,Pantograph contact wear,MINOR,2026-06-23,68,2026-09-13 23:00,2026-09-14 00:30,90,PENDING
TRA-0014,TRACTION,JHS-BPL,Insulator flashover risk,MAJOR,2026-08-13,19,2026-09-25 22:00,2026-09-26 00:00,120,PENDING
TRA-0015,TRACTION,LDH-JAT,Insulator flashover risk,MINOR,2026-07-03,59,2026-09-25 04:00,2026-09-25 05:30,90,PENDING
TRA-0016,TRACTION,PNBE-MGS,Pantograph contact wear,MAJOR,2026-08-23,8,2026-09-11 02:00,2026-09-11 04:00,120,PENDING
TRA-0017,TRACTION,CSTM-DR,Pantograph contact wear,MAJOR,2026-08-20,11,2026-09-10 01:00,2026-09-10 03:00,120,PENDING
TRA-0018,TRACTION,PNBE-NJP,Insulator flashover risk,MAJOR,2026-08-23,9,2026-09-29 01:00,2026-09-29 03:00,120,PENDING
TRA-0019,TRACTION,KYN-PUNE,Traction substation overdue check,MAJOR,2026-08-18,12,2026-09-07 01:00,2026-09-07 03:00,120,PENDING
TRA-0020,TRACTION,BRC-ST,OHE wire wear,MINOR,2026-07-04,59,2026-09-20 23:00,2026-09-21 00:30,90,PENDING
TRA-0021,TRACTION,BE-LKO,Pantograph contact wear,CRITICAL,2026-08-26,4,2026-09-04 02:00,2026-09-04 05:00,180,PENDING
TRA-0022,TRACTION,DHN-ASN,Pantograph contact wear,MINOR,2026-07-20,40,2026-09-16 04:00,2026-09-16 05:30,90,PENDING
TRA-0023,TRACTION,KYN-DR,Traction substation overdue check,MAJOR,2026-08-16,14,2026-09-20 22:00,2026-09-21 00:00,120,PENDING
TRA-0024,TRACTION,ALJN-TDL,OHE wire wear,MINOR,2026-07-01,61,2026-09-10 23:00,2026-09-11 00:30,90,PENDING
TRA-0025,TRACTION,TDL-CNB,Pantograph contact wear,MAJOR,2026-08-15,17,2026-09-07 01:00,2026-09-07 03:00,120,PENDING
TRA-0026,TRACTION,NZM-AGC,Traction substation overdue check,MINOR,2026-07-10,51,2026-09-24 00:00,2026-09-24 01:30,90,PENDING
TRA-0027,TRACTION,JHS-BPL,Feeder cable fault,MINOR,2026-06-30,62,2026-09-15 01:00,2026-09-15 02:30,90,PENDING
TRA-0028,TRACTION,GZB-NDLS,Feeder cable fault,MINOR,2026-07-06,56,2026-09-27 03:00,2026-09-27 04:30,90,PENDING
TRA-0029,TRACTION,ALD-CNB,Feeder cable fault,MINOR,2026-07-11,49,2026-09-05 04:00,2026-09-05 05:30,90,PENDING
